l,TT
3.240000000000000000e+02,2.907865492965941939e+03
3.250000000000000000e+02,2.879518840861655463e+03
3.260000000000000000e+02,2.851360395744178277e+03
3.270000000000000000e+02,2.823403883826457786e+03
3.280000000000000000e+02,2.795655600384893660e+03
3.290000000000000000e+02,2.768121838084343381e+03
3.300000000000000000e+02,2.740816315316351393e+03
3.310000000000000000e+02,2.713737891150200539e+03
3.320000000000000000e+02,2.686900278749991230e+03
3.330000000000000000e+02,2.660302332004349410e+03
3.340000000000000000e+02,2.633957758972994270e+03
3.350000000000000000e+02,2.607880265246779800e+03
3.360000000000000000e+02,2.582068697322688422e+03
3.370000000000000000e+02,2.556529327744889542e+03
3.380000000000000000e+02,2.531268426859357533e+03
3.390000000000000000e+02,2.506299691283167249e+03
3.400000000000000000e+02,2.481629387336714444e+03
3.410000000000000000e+02,2.457256351189505949e+03
3.420000000000000000e+02,2.433186845718800214e+03
3.430000000000000000e+02,2.409427132329024062e+03
3.440000000000000000e+02,2.385976042781799151e+03
3.450000000000000000e+02,2.362839836086332980e+03
3.460000000000000000e+02,2.340024770347574758e+03
3.470000000000000000e+02,2.317529674621747745e+03
3.480000000000000000e+02,2.295360805828785487e+03
3.490000000000000000e+02,2.273531848969163093e+03
3.500000000000000000e+02,2.252041632293562088e+03
3.510000000000000000e+02,2.230903875246835014e+03
3.520000000000000000e+02,2.210125006601695077e+03
3.530000000000000000e+02,2.189704061720981827e+03
3.540000000000000000e+02,2.169647505159199227e+03
3.550000000000000000e+02,2.149969230880702526e+03
3.560000000000000000e+02,2.130660849072449309e+03
3.570000000000000000e+02,2.111728828103281103e+03
3.580000000000000000e+02,2.093179638024535507e+03
3.590000000000000000e+02,2.075012322412811045e+03
3.600000000000000000e+02,2.057225926904058724e+03
3.610000000000000000e+02,2.039826927717481794e+03
3.620000000000000000e+02,2.022814375117572581e+03
3.630000000000000000e+02,2.006202178615448929e+03
3.640000000000000000e+02,1.989974537005263755e+03
3.650000000000000000e+02,1.974152793641071412e+03
3.660000000000000000e+02,1.958728581395369019e+03
3.670000000000000000e+02,1.943708392857193758e+03
3.680000000000000000e+02,1.929091295363474273e+03
3.690000000000000000e+02,1.914876359416743981e+03
3.700000000000000000e+02,1.901077515438430282e+03
3.710000000000000000e+02,1.887678983705550763e+03
3.720000000000000000e+02,1.874694701176525768e+03
3.730000000000000000e+02,1.862116323049190896e+03
3.740000000000000000e+02,1.849950364508183839e+03
3.750000000000000000e+02,1.838188487307022115e+03
3.760000000000000000e+02,1.826837213139771848e+03
3.770000000000000000e+02,1.815903066899560372e+03
3.780000000000000000e+02,1.805370291576040245e+03
3.790000000000000000e+02,1.795252846645481895e+03
3.800000000000000000e+02,1.785549837898757687e+03
3.810000000000000000e+02,1.776252945713294594e+03
3.820000000000000000e+02,1.767368710018882439e+03
3.830000000000000000e+02,1.758896245156522127e+03
3.840000000000000000e+02,1.750827239783776122e+03
3.850000000000000000e+02,1.743160813477632246e+03
3.860000000000000000e+02,1.735903516635125243e+03
3.870000000000000000e+02,1.729054473673000530e+03
3.880000000000000000e+02,1.722597954578411191e+03
3.890000000000000000e+02,1.716540516563153005e+03
3.900000000000000000e+02,1.710881290568887607e+03
3.910000000000000000e+02,1.705619409528035703e+03
3.920000000000000000e+02,1.700739151579450436e+03
3.930000000000000000e+02,1.696254510092696364e+03
3.940000000000000000e+02,1.692149766796407675e+03
3.950000000000000000e+02,1.688424061818658856e+03
3.960000000000000000e+02,1.685076536934659316e+03
3.970000000000000000e+02,1.682098907174770829e+03
3.980000000000000000e+02,1.679497745844219253e+03
3.990000000000000000e+02,1.677264771102289615e+03
4.000000000000000000e+02,1.675399131004921173e+03
4.010000000000000000e+02,1.673900110097431707e+03
4.020000000000000000e+02,1.672760105897741369e+03
4.030000000000000000e+02,1.671979080807505625e+03
4.040000000000000000e+02,1.671556998863016815e+03
4.050000000000000000e+02,1.671478969087039559e+03
4.060000000000000000e+02,1.671744958953864852e+03
4.070000000000000000e+02,1.672354937764187980e+03
4.080000000000000000e+02,1.673301448381055025e+03
4.090000000000000000e+02,1.674569607326259074e+03
4.100000000000000000e+02,1.676174246637472152e+03
4.110000000000000000e+02,1.678085630480301461e+03
4.120000000000000000e+02,1.680318595473620007e+03
4.130000000000000000e+02,1.682865695666442207e+03
4.140000000000000000e+02,1.685719487723540624e+03
4.150000000000000000e+02,1.688865102714690011e+03
4.160000000000000000e+02,1.692317388008872285e+03
4.170000000000000000e+02,1.696054052267224733e+03
4.180000000000000000e+02,1.700082520741493227e+03
