l,Nl
3.380000000000000000e+02,3.732240941519369627e-08
3.390000000000000000e+02,3.736216261169002366e-08
3.400000000000000000e+02,3.740199956709732235e-08
3.410000000000000000e+02,3.744191655495795952e-08
3.420000000000000000e+02,3.748190986302945415e-08
3.430000000000000000e+02,3.752197579277526456e-08
3.440000000000000000e+02,3.756211066128495261e-08
3.450000000000000000e+02,3.760231080556191078e-08
3.460000000000000000e+02,3.764257258210303529e-08
3.470000000000000000e+02,3.768289237119543971e-08
3.480000000000000000e+02,3.772326657653931353e-08
3.490000000000000000e+02,3.776369163189889766e-08
3.500000000000000000e+02,3.780416399610163499e-08
3.510000000000000000e+02,3.784468015734815857e-08
3.520000000000000000e+02,3.788523663291551247e-08
3.530000000000000000e+02,3.792582997115180185e-08
3.540000000000000000e+02,3.796645675350750369e-08
3.550000000000000000e+02,3.800711359425743486e-08
3.560000000000000000e+02,3.804779714483980414e-08
3.570000000000000000e+02,3.808850409361905618e-08
3.580000000000000000e+02,3.812923116796225370e-08
3.590000000000000000e+02,3.816997513630113949e-08
3.600000000000000000e+02,3.821073281248914813e-08
3.610000000000000000e+02,3.825150105564465199e-08
3.620000000000000000e+02,3.829227677227630584e-08
3.630000000000000000e+02,3.833305691839338975e-08
3.640000000000000000e+02,3.837383850165534045e-08
3.650000000000000000e+02,3.841461858128671060e-08
3.660000000000000000e+02,3.845539427024446134e-08
3.670000000000000000e+02,3.849616273736818857e-08
3.680000000000000000e+02,3.853692120737324738e-08
3.690000000000000000e+02,3.857766696520522935e-08
3.700000000000000000e+02,3.861839735170612508e-08
3.710000000000000000e+02,3.865910977231181731e-08
3.720000000000000000e+02,3.869980169061375703e-08
3.730000000000000000e+02,3.874047063702751848e-08
3.740000000000000000e+02,3.878111420457704343e-08
3.750000000000000000e+02,3.882173005110114213e-08
3.760000000000000000e+02,3.886231590149731003e-08
3.770000000000000000e+02,3.890286954994427611e-08
3.780000000000000000e+02,3.894338886003725680e-08
3.790000000000000000e+02,3.898387176702058927e-08
3.800000000000000000e+02,3.902431628005743559e-08
3.810000000000000000e+02,3.906472048237255415e-08
3.820000000000000000e+02,3.910508253143313452e-08
3.830000000000000000e+02,3.914540066538098703e-08
3.840000000000000000e+02,3.918567319699162288e-08
3.850000000000000000e+02,3.922589851800390274e-08
3.860000000000000000e+02,3.926607509934210502e-08
3.870000000000000000e+02,3.930620148924876078e-08
3.880000000000000000e+02,3.934627631557272139e-08
3.890000000000000000e+02,3.938629828392741771e-08
3.900000000000000000e+02,3.942626617997756449e-08
3.910000000000000000e+02,3.946617886965991836e-08
3.920000000000000000e+02,3.950603529944045155e-08
3.930000000000000000e+02,3.954583449857101975e-08
3.940000000000000000e+02,3.958557557734127139e-08
3.950000000000000000e+02,3.962525772933153026e-08
3.960000000000000000e+02,3.966488023370181607e-08
3.970000000000000000e+02,3.970444245144541106e-08
3.980000000000000000e+02,3.974394382966460956e-08
3.990000000000000000e+02,3.978338389984569565e-08
4.000000000000000000e+02,3.982276228013903679e-08
4.010000000000000000e+02,3.986207867167629041e-08
4.020000000000000000e+02,3.990133286283070832e-08
4.030000000000000000e+02,3.994052472762522433e-08
4.040000000000000000e+02,3.997965422419634676e-08
4.050000000000000000e+02,4.001872139713654862e-08
4.060000000000000000e+02,4.005772637792429570e-08
4.070000000000000000e+02,4.009666938143795007e-08
4.080000000000000000e+02,4.013555070831868766e-08
4.090000000000000000e+02,4.017437074730033511e-08
4.100000000000000000e+02,4.021312996987549748e-08
4.110000000000000000e+02,4.025182893261039998e-08
4.120000000000000000e+02,4.029046827758184453e-08
4.130000000000000000e+02,4.032904873087428871e-08
4.140000000000000000e+02,4.036757110301831769e-08
4.150000000000000000e+02,4.040603628749940964e-08
4.160000000000000000e+02,4.044444525930595580e-08
4.170000000000000000e+02,4.048279907721741413e-08
4.180000000000000000e+02,4.052109888048844661e-08
4.190000000000000000e+02,4.055934588925215990e-08
4.200000000000000000e+02,4.059754140496228961e-08
4.210000000000000000e+02,4.063568681080205249e-08
4.220000000000000000e+02,4.067378356841553896e-08
4.230000000000000000e+02,4.071183322016774261e-08
4.240000000000000000e+02,4.074983738959555224e-08
4.250000000000000000e+02,4.078779777814078559e-08
4.260000000000000000e+02,4.082571616560042694e-08
4.270000000000000000e+02,4.086359440871189690e-08
4.280000000000000000e+02,4.090143443795333906e-08
4.290000000000000000e+02,4.093923825613462705e-08
4.300000000000000000e+02,4.097700793884700003e-08
4.310000000000000000e+02,4.101474563306825093e-08
4.320000000000000000e+02,4.105245355219793544e-08
4.330000000000000000e+02,4.109013397826705599e-08
4.340000000000000000e+02,4.112778926059663288e-08
4.350000000000000000e+02,4.116542181263261345e-08
4.360000000000000000e+02,4.120303411418440154e-08
4.370000000000000000e+02,4.124062870828480702e-08
4.380000000000000000e+02,4.127820820164878699e-08
4.390000000000000000e+02,4.131577526155484247e-08
4.400000000000000000e+02,4.135333261630670434e-08
